geometry_id,density,seed,mask_variant,method,status,output_path,error,parameters,common_f1,common_precision,common_recall,fragment_recovery_rate,pixel_recovery_rate,representation_dependent_pixel_recovery_rate
cov20/synth_0000,20,20262801,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0000\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.15638575152041706,0.08645533141210375,0.8181818181818182,0.0,0.0,0.0
cov20/synth_0000,20,20262801,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0000\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7783251231527094,0.8494623655913979,0.7181818181818181,0.8125,0.0,0.0
cov20/synth_0000,20,20262801,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0000\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.9209302325581394,0.9428571428571428,0.9,0.9375,0.8125,0.8125
cov20/synth_0001,20,20262802,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0001\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.12227074235807861,0.06639004149377593,0.7724137931034483,0.125,0.0,0.0
cov20/synth_0001,20,20262802,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0001\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8115942028985507,0.8549618320610687,0.7724137931034483,0.7083333333333334,0.0,0.0
cov20/synth_0001,20,20262802,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0001\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.756923076923077,0.6833333333333333,0.8482758620689655,0.4583333333333333,0.36,0.36
cov20/synth_0002,20,20262803,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0002\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.17358490566037738,0.10407239819004525,0.5227272727272727,0.10526315789473684,0.0,0.0
cov20/synth_0002,20,20262803,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0002\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7311827956989247,0.6938775510204082,0.7727272727272727,0.7368421052631579,0.0,0.0
cov20/synth_0002,20,20262803,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0002\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.9438202247191012,0.9333333333333333,0.9545454545454546,0.9473684210526315,0.47368421052631576,0.47368421052631576
cov20/synth_0003,20,20262804,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0003\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.12348401323042998,0.06698564593301436,0.7887323943661971,0.37037037037037035,0.0,0.0
cov20/synth_0003,20,20262804,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0003\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.851063829787234,0.8571428571428571,0.8450704225352113,0.8148148148148148,0.0,0.0
